date,week,week_era,station,temperature,weather,holiday,number
2015-04-01,3.0,0.0,1.0,14,1,0,63.0
2015-04-01,3.0,0.0,2.0,14,1,0,22.0
2015-04-01,3.0,0.0,3.0,14,1,0,35.0
2015-04-01,3.0,0.0,5.0,14,1,0,70.0
2015-04-01,3.0,0.0,6.0,14,1,0,74.0
2015-04-01,3.0,0.0,7.0,14,1,0,65.0
2015-04-01,3.0,0.0,8.0,14,1,0,92.0
2015-04-01,3.0,0.0,9.0,14,1,0,76.0
2015-04-01,3.0,0.0,10.0,14,1,0,45.0
2015-04-01,3.0,0.0,12.0,14,1,0,46.0
2015-04-01,3.0,0.0,13.0,14,1,0,5.0
2015-04-01,3.0,0.0,14.0,14,1,0,29.0
2015-04-01,3.0,0.0,15.0,14,1,0,31.0
2015-04-01,3.0,0.0,16.0,14,1,0,35.0
2015-04-01,3.0,0.0,17.0,14,1,0,77.0
2015-04-01,3.0,0.0,18.0,14,1,0,27.0
2015-04-01,3.0,0.0,19.0,14,1,0,78.0
2015-04-01,3.0,0.0,20.0,14,1,0,67.0
2015-04-01,3.0,0.0,21.0,14,1,0,13.0
2015-04-01,3.0,0.0,22.0,14,1,0,15.0
2015-04-01,3.0,0.0,23.0,14,1,0,10.0
2015-04-01,3.0,0.0,24.0,14,1,0,13.0
2015-04-01,3.0,0.0,25.0,14,1,0,19.0
2015-04-01,3.0,0.0,26.0,14,1,0,3.0
2015-04-01,3.0,0.0,27.0,14,1,0,35.0
2015-04-01,3.0,0.0,28.0,14,1,0,32.0
2015-04-01,3.0,0.0,29.0,14,1,0,6.0
2015-04-01,3.0,0.0,30.0,14,1,0,30.0
2015-04-01,3.0,0.0,31.0,14,1,0,33.0
2015-04-01,3.0,0.0,32.0,14,1,0,26.0
2015-04-01,3.0,0.0,33.0,14,1,0,5.0
2015-04-01,3.0,0.0,34.0,14,1,0,37.0
2015-04-01,3.0,0.0,35.0,14,1,0,27.0
2015-04-01,3.0,0.0,36.0,14,1,0,56.0
2015-04-01,3.0,0.0,37.0,14,1,0,51.0
2015-04-01,3.0,0.0,38.0,14,1,0,39.0
2015-04-01,3.0,0.0,39.0,14,1,0,104.0
2015-04-01,3.0,0.0,40.0,14,1,0,44.0
2015-04-01,3.0,0.0,41.0,14,1,0,83.0
2015-04-01,3.0,0.0,42.0,14,1,0,84.0
2015-04-01,3.0,0.0,43.0,14,1,0,59.0
2015-04-01,3.0,0.0,44.0,14,1,0,92.0
2015-04-01,3.0,0.0,45.0,14,1,0,27.0
2015-04-01,3.0,0.0,46.0,14,1,0,20.0
2015-04-01,3.0,0.0,47.0,14,1,0,37.0
2015-04-01,3.0,0.0,48.0,14,1,0,29.0
2015-04-01,3.0,0.0,49.0,14,1,0,35.0
2015-04-01,3.0,0.0,50.0,14,1,0,122.0
2015-04-01,3.0,0.0,51.0,14,1,0,32.0
